
@attribute Name string
@attribute Platform { Wii, NES, GB, DS, X360, PS3, PS2, SNES, GBA, 3DS, PS4, N64, PS, XB, PC, 2600, PSP, XOne, GC, WiiU, GEN, DC, PSV, SAT, SCD, WS, NG, TG16, 3DO, GG, PCFX }
@attribute Year { 2006, 1985, 2008, 2009, 1996, 1989, 1984, 2005, 1999, 2007, 2010, 2013, 2004, 1990, 1988, 2002, 2001, 2011, 1998, 2015, 2012, 2014, 1992, 1997, 1993, 1994, 1982, 2003, 1986, 2000, 1995, 2016, 1991, 1981, 1987, 1980, 1983, 2020, 2017 }
@attribute Genre { Sports, Platform, Racing, Role-Playing, Puzzle, Misc, Shooter, Simulation, Action, Fighting, Adventure, Strategy }
@attribute Publisher { Nintendo, Microsoft Game Studios, Take-Two Interactive, Sony Computer Entertainment, Activision, Ubisoft, Bethesda Softworks, Electronic Arts, Sega, SquareSoft, Atari, 505 Games, Capcom, GT Interactive, Konami Digital Entertainment, Sony Computer Entertainment Europe, Square Enix, LucasArts, Virgin Interactive, Warner Bros. Interactive Entertainment, Universal Interactive, Eidos Interactive, RedOctane, Vivendi Games, Enix Corporation, Namco Bandai Games, Palcom, Hasbro Interactive, THQ, Fox Interactive, Acclaim Entertainment, MTV Games, Disney Interactive Studios, Majesco Entertainment, Codemasters, Red Orb, Level 5, Arena Entertainment, Midway Games, JVC, Deep Silver, 989 Studios, NCSoft, UEP Systems, Parker Bros., Maxis, Imagic, Tecmo Koei, Valve Software, ASCII Entertainment, Mindscape, Infogrames, Unknown, Square, Valve, Activision Value, Banpresto, D3Publisher, Oxygen Interactive, Red Storm Entertainment, Video System, Hello Games, Global Star, Gotham Games, Westwood Studios, GungHo, Crave Entertainment, Hudson Soft, Coleco, Rising Star Games, Atlus, TDK Mediactive, ASC Games, Zoo Games, Accolade, Sony Online Entertainment, 3DO, RTL, Natsume, Focus Home Interactive, Alchemist, Black Label Games, SouthPeak Games, Mastertronic, Ocean, Zoo Digital Publishing, Psygnosis, City Interactive, Empire Interactive, Success, Compile, Russel, Taito, Agetec, GSP, Microprose, Play It, Slightly Mad Studios, Tomy Corporation, Sammy Corporation, Koch Media, Game Factory, Titus, Marvelous Entertainment, Genki, Mojang, Pinnacle, CTO SpA, TalonSoft, Crystal Dynamics, SCi, Quelle, mixi, Inc, Rage Software, Ubisoft Annecy, Scholastic Inc., Interplay, Mystique, ChunSoft, Square EA, 20th Century Fox Video Games, Avanquest Software, Hudson Entertainment, Nordic Games, Men-A-Vision, Nobilis, Big Ben Interactive, Touchstone, Spike, Jester Interactive, Nippon Ichi Software, LEGO Media, Quest, Illusion Softworks, Tigervision, Funbox Media, Rocket Company, Metro 3D, Mattel Interactive, IE Institute, Rondomedia, Sony Computer Entertainment America, Universal Gamex, Ghostlight, Wizard Video Games, BMG Interactive Entertainment, PQube, Trion Worlds, Laguna, Ignition Entertainment, Takara, Kadokawa Shoten, Destineer, Enterbrain, Xseed Games, Imagineer, System 3 Arcade Software, CPG Products, Aruze Corp, Gamebridge, Midas Interactive Entertainment, Jaleco, Answer Software, XS Games, Activision Blizzard, Pack In Soft, Rebellion, Xplosiv, GameMill Entertainment, Wanadoo, NovaLogic, Telltale Games, Epoch, BAM! Entertainment, Knowledge Adventure, Mastiff, Tetris Online, Harmonix Music Systems, ESP, TYO, Telegames, Mud Duck Productions, Screenlife, Pioneer LDC, Magical Company, Mentor Interactive, Kemco, Human Entertainment, Avanquest, Data Age, Electronic Arts Victor, Black Bean Games, Jack of All Games, 989 Sports, Takara Tomy, Media Rings, Elf, Starfish, Zushi Games, Jorudan, Destination Software, Inc, New, Brash Entertainment, ITT Family Games, PopCap Games, Home Entertainment Suppliers, Ackkstudios, Starpath Corp., P2 Games, BPS, Gathering of Developers, NewKidCo, Storm City Games, CokeM Interactive, CBS Electronics, Magix, Marvelous Interactive, Kalypso Media, Nihon Falcom Corporation, Wargaming.net, Angel Studios, Arc System Works, Playmates, SNK Playmore, Hamster Corporation, From Software, Nippon Columbia, Nichibutsu, Little Orbit, Conspiracy Entertainment, DTP Entertainment, Hect, Mumbo Jumbo, Pacific Century Cyber Works, Indie Games, Liquid Games, NEC, Axela, ArtDink, Sunsoft, Gust, SNK, NEC Interchannel, FuRyu, Xing Entertainment, ValuSoft, Victor Interactive, Detn8 Games, American Softworks, Nordcurrent, Bomb, Falcom Corporation, AQ Interactive, CCP, Milestone S.r.l., JoWood Productions, Seta Corporation, On Demand, NCS, Aspyr, Gremlin Interactive Ltd, Agatsuma Entertainment, Compile Heart, Culture Brain, Mad Catz, Shogakukan, Merscom LLC, Rebellion Developments, Nippon Telenet, TDK Core, bitComposer Games, Foreign Media Games, Astragon, SSI, Kadokawa Games, Idea Factory, Performance Designed Products, Asylum Entertainment, Core Design Ltd., PlayV, UFO Interactive, Idea Factory International, Playlogic Game Factory, Essential Games, Adeline Software, Funcom, Panther Software, Blast! Entertainment Ltd, Game Life, DSI Games, Avalon Interactive, Popcorn Arcade, Neko Entertainment, Vir2L Studios, Aques, Syscom, White Park Bay Software, System 3, Vatical Entertainment, Daedalic, EA Games, Media Factory, Vic Tokai, The Adventure Company, Game Arts, Broccoli, Acquire, General Entertainment, Excalibur Publishing, Imadio, Swing! Entertainment, Sony Music Entertainment, Aqua Plus, Paradox Interactive, Hip Interactive, DreamCatcher Interactive, Tripwire Interactive, Sting, Yacht Club Games, SCS Software, Bigben Interactive, Havas Interactive, Slitherine Software, Graffiti, Funsta, Telstar, U.S. Gold, DreamWorks Interactive, Data Design Interactive, MTO, DHM Interactive, FunSoft, SPS, Bohemia Interactive, Reef Entertainment, Tru Blu Entertainment, Moss, T&E Soft, O-Games, Aksys Games, NDA Productions, Data East, Time Warner Interactive, Gainax Network Systems, Daito, O3 Entertainment, Gameloft, Xicat Interactive, Simon & Schuster Interactive, Valcon Games, PopTop Software, TOHO, HMH Interactive, 5pb, Cave, CDV Software Entertainment, Microids, PM Studios, Paon, Micro Cabin, GameTek, Benesse, Type-Moon, Enjoy Gaming ltd., Asmik Corp, Interplay Productions, Asmik Ace Entertainment, inXile Entertainment, Image Epoch, Phantom EFX, Evolved Games, responDESIGN, Culture Publishers, Griffin International, Hackberry, Hearty Robin, Nippon Amuse, Origin Systems, Seventh Chord, Mitsui, Milestone, Abylight, Flight-Plan, Glams, Locus, Warp, Daedalic Entertainment, Alternative Software, Myelin Media, Mercury Games, Irem Software Engineering, Sunrise Interactive, Elite, Evolution Games, Tivola, Global A Entertainment, Edia, Athena, Aria, Gamecock, Tommo, Altron, Happinet, iWin, Media Works, Fortyfive, Revolution Software, Imax, Crimson Cow, 10TACLE Studios, Groove Games, Pack-In-Video, Insomniac Games, Ascaron Entertainment GmbH, Asgard, Ecole, Yumedia, Phenomedia, HAL Laboratory, Grand Prix Games, DigiCube, Creative Core, Kaga Create, WayForward Technologies, LSP Games, ASCII Media Works, Coconuts Japan, Arika, Ertain, Marvel Entertainment, Prototype, Phantagram, 1C Company, The Learning Company, TechnoSoft, Vap, Misawa, Tradewest, Team17 Software, Yeti, Pow, Navarre Corp, MediaQuest, Max Five, Comfort, Monte Christo Multimedia, Pony Canyon, Riverhillsoft, Summitsoft, Milestone S.r.l, Playmore, MLB.com, Kool Kizz, Flashpoint Games, 49Games, Legacy Interactive, Alawar Entertainment, CyberFront, Cloud Imperium Games Corporation, Societa, Virtual Play Games, Interchannel, Sonnet, Experience Inc., Zenrin, Iceberg Interactive, Ivolgamus, 2D Boy, MC2 Entertainment, Kando Games, Just Flight, Office Create, Mamba Games, Fields, Princess Soft, Maximum Family Games, Berkeley, Fuji, Dusenberry Martin Racing, imageepoch Inc., Big Fish Games, Her Interactive, Kamui, ASK, TopWare Interactive, Headup Games, KSS, Cygames, KID, Quinrose, Sunflowers, dramatic create, TGL, Encore, Extreme Entertainment Group, Intergrow, G.Rev, Sweets, Kokopeli Digital Studios, Number None, Nexon, id Software, BushiRoad, Tryfirst, Strategy First, 7G//AMES, GN Software, Yuke's, Easy Interactive, Licensed 4U, FuRyu Corporation, Lexicon Entertainment, Paon Corporation, Kids Station, GOA, Graphsim Entertainment, King Records, Introversion Software, Minato Station, Devolver Digital, Blue Byte, Gaga, Yamasa Entertainment, Plenty, Views, fonfun, NetRevo, Codemasters Online, Quintet, Phoenix Games, Dorart, Marvelous Games, Focus Multimedia, Imageworks, Karin Entertainment, Aerosoft, Technos Japan Corporation, Gakken, Mirai Shounen, Datam Polystar, Saurus, HuneX, Revolution (Japan), Giza10, Visco, Alvion, Mycom, Giga, Warashi, System Soft, Sold Out, Lighthouse Interactive, Masque Publishing, RED Entertainment, Michaelsoft, Media Entertainment, New World Computing, Genterprise, Interworks Unlimited, Inc., Boost On, Stainless Games, EON Digital Entertainment, Epic Games, Naxat Soft, Ascaron Entertainment, Piacci, Nitroplus, Paradox Development, Otomate, Ongakukan, Commseed, Inti Creates, Takuyo, Interchannel-Holon, Rain Games, UIG Entertainment }
@attribute Global_Sales string

@data
Spectrobes,DS,2007.0,Role-Playing,Disney Interactive Studios,0.75
Hakuouki: Yuugi Roku,PSP,2010.0,Adventure,Idea Factory,0.07
Okami,PS3,2012.0,Action,Capcom,0.14
Sports Illustrated for Kids: Football,GBA,2003.0,Sports,BAM! Entertainment,0.18
Formula One World Championship: Beyond the Limit,SCD,1994.0,Racing,Sega,0.07
Cake Mania 3,DS,2009.0,Simulation,Majesco Entertainment,0.14
Call of Duty: Black Ops 3,PC,2015.0,Shooter,Activision,0.23
Brunswick Pro Bowling,PSP,2007.0,Sports,505 Games,0.21
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002.0,Role-Playing,Enix Corporation,0.54
F.E.A.R. 2: Project Origin,PC,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.07
Payday 2,X360,2013.0,Shooter,505 Games,0.59
Exstetra,PSV,2013.0,Role-Playing,FuRyu,0.03
Looney Tunes: Acme Arsenal,PS2,2007.0,Action,Warner Bros. Interactive Entertainment,0.38
The Crow: City of Angels,PS,1997.0,Action,Acclaim Entertainment,0.02
Hidden Invasion,PS2,2001.0,Shooter,Swing! Entertainment,0.08
Nanotek Warrior,PS,1997.0,Shooter,Virgin Interactive,0.03
Rugby World Cup 2015,PSV,2015.0,Sports,Ubisoft,0.04
NFL Quarterback Club 97,PS,1996.0,Sports,Acclaim Entertainment,0.22
Madden NFL 07,Wii,2006.0,Sports,Electronic Arts,0.5
Seiken Densetsu 3,SNES,1995.0,Role-Playing,SquareSoft,0.89
PGA European Tour,N64,2000.0,Sports,Infogrames,0.01
Mega Man Legacy Collection,3DS,2016.0,Platform,Capcom,0.2
Chaos Wars,PS2,2006.0,Strategy,Idea Factory,0.04
Skylanders SWAP Force,X360,2013.0,Platform,Activision,1.33
Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,GBA,2005.0,Action,Konami Digital Entertainment,0.06
Samurai Warriors,XB,2004.0,Action,Tecmo Koei,0.07
Final Fantasy XI: Vana'diel Collection 2008,X360,2007.0,Role-Playing,Square Enix,0.15
Dragon's Dogma Online,PS4,2015.0,Role-Playing,Capcom,0.08
Orcs & Elves,DS,2007.0,Role-Playing,Electronic Arts,0.06
AeroFighters Assault,N64,1997.0,Action,Video System,0.19
Samurai Warriors Chronicles 3,PSV,2014.0,Action,Tecmo Koei,0.06
Dynasty Warriors Vol. 2 (JP sales),PSP,2006.0,Action,Tecmo Koei,0.04
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,13.1
Aquaman: Battle for Atlantis,GC,2003.0,Action,TDK Mediactive,0.01
Sleepover Party,Wii,2009.0,Misc,Ubisoft,0.04
The Price is Right,Wii,2008.0,Misc,Ubisoft,0.83
Wipeout: In The Zone,X360,2011.0,Misc,Activision,0.92
Culdcept SAGA,X360,2006.0,Role-Playing,Namco Bandai Games,0.16
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001.0,Misc,Konami Digital Entertainment,2.38
Karaoke Revolution Volume 2,PS2,2004.0,Misc,Konami Digital Entertainment,0.23
Plants vs. Zombies: Garden Warfare,PC,2014.0,Shooter,Electronic Arts,0.02
Winter Sports 2: The Next Challenge,PS2,2008.0,Sports,Conspiracy Entertainment,0.08
Football Manager Handheld 2011,PSP,2010.0,Sports,Sega,0.42
Tokimeki Memorial: Forever with You,PS,1995.0,Simulation,Konami Digital Entertainment,0.58
Tony Hawk's Pro Skater 3,GC,2001.0,Sports,Activision,0.82
Rumble Racing,PS2,2001.0,Racing,Electronic Arts,0.21
Winter Stars,PS3,2011.0,Sports,Deep Silver,0.09
Cabela's Outdoor Adventures (2006),PS2,2005.0,Sports,Zoo Digital Publishing,0.35
Spider-Man: Web of Shadows,DS,2008.0,Action,Activision,0.1
We Dance,Wii,2011.0,Misc,Nordic Games,0.19
Crash Tag Team Racing,GC,2005.0,Racing,Vivendi Games,0.16
Zettai Onkan Otoda Master,DS,2007.0,Role-Playing,Hudson Soft,0.07
The Orange Box,X360,2007.0,Shooter,Electronic Arts,1.83
Metroid Fusion,GBA,2002.0,Action,Nintendo,1.68
Kan Colle Kai,PSV,2016.0,Action,Kadokawa Games,0.19
Summon Night 3,PS2,2003.0,Role-Playing,Banpresto,0.24
Point Blank,PS,1997.0,Shooter,Sony Computer Entertainment,0.34
Trivial Pursuit,PS3,2009.0,Misc,Electronic Arts,0.29
Test Drive,PS2,2002.0,Racing,Atari,1.34
Mario Party 7,GC,2005.0,Misc,Nintendo,1.57
MLB Power Pros,PS2,2007.0,Sports,Konami Digital Entertainment,0.11
Bolt,DS,2008.0,Adventure,Disney Interactive Studios,0.62
Texas Hold 'Em Poker DS,DS,2005.0,Misc,Majesco Entertainment,0.04
Dynasty Warriors: Strikeforce,PSP,2009.0,Action,Ubisoft Annecy,0.45
Fallout 3,PC,2008.0,Role-Playing,Bethesda Softworks,0.99
PQ2: Practical Intelligence Quotient,PSP,2006.0,Puzzle,D3Publisher,0.05
Sudoku Mania,DS,2006.0,Puzzle,Zoo Digital Publishing,0.1
My Word Coach,Wii,2007.0,Misc,Ubisoft,0.51
Chibi-Robo! Plug into Adventure!,GC,2005.0,Adventure,Nintendo,0.39
Hot Shots Golf 3,PS2,2001.0,Sports,Sony Computer Entertainment,2.89
BlazBlue: Continuum Shift,X360,2010.0,Fighting,PQube,0.32
Rewrite,PSV,2014.0,Adventure,Prototype,0.01
Hitman: HD Trilogy,X360,2013.0,Action,Square Enix,0.18
Grooverider: Slot Car Thunder,XB,2003.0,Racing,Encore,0.01
Machinarium,PC,2009.0,Adventure,Daedalic,0.11
Countdown: The Game,Wii,2009.0,Puzzle,Mindscape,0.05
San-X Character Channel: All-Star Daishuugou!,DS,2008.0,Action,MTO,0.01
WWE SmackDown vs. Raw 2009,X360,2008.0,Fighting,THQ,0.92
Doctor Lautrec and the Forgotten Knights,3DS,2011.0,Adventure,Konami Digital Entertainment,0.16
Jake Power: Handyman,DS,2008.0,Adventure,Ubisoft,0.07
Captain Tsubasa J: The Way to World Youth,SNES,1995.0,Sports,Namco Bandai Games,0.03
ESPN: Sports Connection,WiiU,2012.0,Sports,Ubisoft,0.37
Rock 'N' Roll Adventures,Wii,2007.0,Platform,Popcorn Arcade,0.03
Diddy Kong Racing DS,DS,2007.0,Racing,Nintendo,1.24
Sengoku Cyber: Fujimaru Jigokuhen,PS,1995.0,Strategy,Sony Computer Entertainment,0.12
The King of Fighters '95,SAT,1995.0,Fighting,SNK Playmore,0.28
USA Today Puzzle Craze,DS,2009.0,Puzzle,Destineer,0.1
Shrek 2,XB,2004.0,Platform,Activision,0.55
The King of Fighters 2006,PS2,2006.0,Fighting,Ignition Entertainment,0.08
The Sims 2: Apartment Life,PC,2008.0,Simulation,Electronic Arts,0.09
Bust-A-Move 4,PS,1998.0,Puzzle,Acclaim Entertainment,0.22
The Lord of the Rings: The Fellowship of the Ring,XB,2002.0,Action,Universal Interactive,0.53
Ridge Racer 7,PS3,2006.0,Racing,Namco Bandai Games,1.37
Big Bang Mini,DS,2009.0,Shooter,SouthPeak Games,0.06
Disney's Treasure Planet,GBA,2002.0,Action,Ubisoft,0.28
Driver 2 Advance,GBA,2002.0,Action,Atari,0.34
NCAA Football 11,X360,2010.0,Sports,Electronic Arts,0.92
Cabela's North American Adventures,PS3,2010.0,Sports,Activision,0.11
Build-A-Bear Workshop,DS,2007.0,Simulation,Game Factory,0.93
FIFA Street,PS2,2005.0,Sports,Electronic Arts,0.31
Country Dance 2,Wii,2011.0,Misc,GameMill Entertainment,0.46
007: Quantum of Solace,PC,2008.0,Action,Activision,0.03
Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,DS,2011.0,Strategy,Konami Digital Entertainment,0.21
Disney's PK: Out of the Shadows,PS2,2002.0,Platform,Ubisoft,0.12
Invizimals: The Alliance,PSV,2013.0,Action,Sony Computer Entertainment,0.07
Jeremy McGrath Supercross World,GC,2002.0,Racing,Acclaim Entertainment,0.12
Star Wars: The Force Unleashed,PSP,2008.0,Action,LucasArts,1.09
Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,2.28
Are You Smarter Than a 5th Grader? Back to School,Wii,2010.0,Misc,Nintendo,0.21
Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,DS,2009.0,Adventure,Namco Bandai Games,0.08
Marvel Super Hero Squad,PS2,2009.0,Fighting,THQ,0.29
Sudoku Ball Detective,DS,2009.0,Puzzle,Playlogic Game Factory,0.06
Gran Turismo 4 Prologue,PS2,2003.0,Racing,Sony Computer Entertainment,1.41
Petz: Horsez 2,PS2,2007.0,Simulation,Ubisoft,0.26
Senran Kagura: Sh?jo-tachi no Shinei,3DS,2011.0,Action,Marvelous Interactive,0.16
Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,PS2,2006.0,Adventure,Konami Digital Entertainment,0.04
Drawn to Life: The Next Chapter,DS,2009.0,Puzzle,THQ,0.65
Hanagumi Taisen Columns,SAT,1997.0,Puzzle,Sega,0.12
Robotics;Notes,X360,2012.0,Adventure,5pb,0.02
Bass Pro Shops: The Hunt,X360,2010.0,Sports,Griffin International,0.09
Namco Classic Fighter Collection,PS2,2008.0,Fighting,Namco Bandai Games,0.16
Theme Park Roller Coaster,PS2,2000.0,Strategy,Electronic Arts,0.48
SimCity Creator,DS,2008.0,Simulation,Electronic Arts,0.35
Pictionary,Wii,2010.0,Puzzle,THQ,0.87
Deadpool,PS3,2013.0,Action,Activision,0.47
J-League Pro Soccer Club o Tsukurou! 5,PS2,2007.0,Sports,Sega,0.19
Metal Max 4: Gekkou no Diva,3DS,2013.0,Role-Playing,Kadokawa Shoten,0.06
Jewel Link Chronicles: Legend of Athena,DS,2011.0,Puzzle,GSP,0.07
Hamtaro: Ham-Ham Heartbreak,GBA,2002.0,Action,Nintendo,0.36
Punch King,GBA,2002.0,Fighting,Acclaim Entertainment,0.05
Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,DS,2011.0,Misc,Disney Interactive Studios,0.02
Pitfall: The Mayan Adventure,GBA,2001.0,Platform,Interplay,0.28
U-Sing  2,Wii,2010.0,Misc,Mindscape,0.09
Steins;Gate 0,PSV,2015.0,Adventure,PQube,0.05
One Piece: Pirate Warriors 2,PS3,2013.0,Action,Namco Bandai Games,0.69
Game Party,Wii,2007.0,Misc,Midway Games,2.52
Dance Dance Revolution 2nd ReMIX,PS,1999.0,Simulation,Konami Digital Entertainment,0.96
Gallop Racer,PS,1999.0,Sports,Tecmo Koei,0.19
Jampack Spring 2004 (RP-T),PS2,2003.0,Misc,Sony Computer Entertainment,0.41
Madagascar,GC,2005.0,Platform,Activision,0.66
Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!,PSP,2012.0,Action,Broccoli,0.01
Anarchy Reigns,X360,2012.0,Action,Sega,0.17
Dragon Quest III: Soshite Densetsu e...,SNES,1996.0,Role-Playing,Enix Corporation,1.36
Cabela's Survival: Shadows of Katmai,X360,2011.0,Sports,Activision,0.19
The Walking Dead: Season Two,X360,2014.0,Adventure,Telltale Games,0.12
Jampack Winter '99,PS,1999.0,Misc,Sony Computer Entertainment,1.69
Hail to the Chimp,X360,2008.0,Misc,Gamecock,0.06
Sweet Honey Coming,PS2,2009.0,Adventure,Kadokawa Shoten,0.01
Jikkyou Powerful Pro Yakyuu 2012,PSV,2012.0,Action,Konami Digital Entertainment,0.09
Jampack Winter 2000,PS,2000.0,Misc,Sony Computer Entertainment,1.0
Fallout: New Vegas,PC,2010.0,Role-Playing,Bethesda Softworks,1.16
LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,LucasArts,1.13
Thrillville: Off the Rails,DS,2007.0,Strategy,LucasArts,0.05
Disney's Meet the Robinsons,X360,2007.0,Action,Disney Interactive Studios,0.08
Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011.0,Strategy,Ubisoft,0.34
Divinity II: Ego Draconis,X360,2009.0,Role-Playing,DTP Entertainment,0.24
Summon Night,DS,2008.0,Role-Playing,Banpresto,0.07
Mega Man X5,PS,2000.0,Platform,Capcom,0.75
Nuclear Strike,PS,1997.0,Simulation,Electronic Arts,1.19
The Suffering: Ties That Bind,XB,2005.0,Action,Midway Games,0.09
NCAA GameBreaker 2003,PS2,2002.0,Sports,Sony Computer Entertainment,0.23
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,4.31
Call of Duty: Modern Warfare 3,Wii,2011.0,Shooter,Activision,0.89
Wasteland 2,XOne,2015.0,Role-Playing,Deep Silver,0.05
Second Sight,XB,2004.0,Adventure,Codemasters,0.07
Hot Shots Golf: Open Tee,PSP,2004.0,Sports,Sony Computer Entertainment,1.96
Dynasty Warriors 8: Xtreme Legends,PS3,2013.0,Action,Tecmo Koei,0.16
The Last Guy,PS3,2009.0,Action,Sony Computer Entertainment,0.03
Famicom Mini: Ganbare Goemon! Karakuri Douchuu,GBA,2004.0,Platform,Konami Digital Entertainment,0.21
Looney Tunes: Acme Arsenal,Wii,2007.0,Action,Warner Bros. Interactive Entertainment,0.23
Dead Island,PC,2011.0,Action,Deep Silver,0.22
Resident Evil Director's Cut: Dual Shock Edition,PS,1997.0,Action,Capcom,0.17
Let's Pilates!,DS,2007.0,Misc,Konami Digital Entertainment,0.02
Cabela's Adventure Camp,PS3,2011.0,Misc,Activision,0.11
Fear Factor: Unleashed,GBA,2004.0,Action,Hip Interactive,0.14
Sacred 2: Fallen Angel,PC,2008.0,Role-Playing,Ascaron Entertainment GmbH,0.06
South Park Rally,N64,2000.0,Racing,Acclaim Entertainment,0.2
X-Men: The Official Game,PS2,2006.0,Action,Activision,0.41
Samurai Warriors Chronicles 2nd,3DS,2012.0,Action,Ubisoft Annecy,0.1
FIFA Soccer 07,PS2,2006.0,Sports,Electronic Arts,4.11
The BIGS 2,DS,2009.0,Sports,Take-Two Interactive,0.05
Dragon Quest X,Wii,2012.0,Role-Playing,Square Enix,0.96
Mini-Yonku GB: Let's & Go!!,GB,1997.0,Strategy,ASCII Entertainment,0.37
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991.0,Action,Konami Digital Entertainment,1.39
NBA Live 2000,N64,1999.0,Sports,Electronic Arts,0.44
Brain Exercise With Dr. Kawashima,PC,2009.0,Puzzle,Namco Bandai Games,0.01
Fatal Frame,PS2,2001.0,Action,Wanadoo,0.14
Crackdown,X360,2007.0,Shooter,Microsoft Game Studios,1.75
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,2013.0,Adventure,5pb,0.02
Time Commando,PS,1996.0,Action,Adeline Software,0.17
Jampack Winter '98,PS,1998.0,Misc,Sony Computer Entertainment,1.13
Super Mario Advance,GBA,2001.0,Platform,Nintendo,5.49
Karaoke Revolution Party,GC,2005.0,Misc,Konami Digital Entertainment,0.07
Syphon Filter: Logan's Shadow,PS2,2010.0,Shooter,Sony Computer Entertainment,0.06
Night Wizard the Video Game: Denial of the World,PS2,2008.0,Adventure,5pb,0.02
NHL 16,PS4,2015.0,Sports,Electronic Arts,0.61
Science Papa,Wii,2009.0,Misc,Activision,0.14
SD Gundam G Generation 3D,3DS,2011.0,Role-Playing,Namco Bandai Games,0.16
Sengoku Basara 2 Heroes,Wii,2007.0,Action,Capcom,0.01
Cabela's Adventure Camp,Wii,2011.0,Misc,Activision,0.18
Virtua Fighter,SAT,1994.0,Fighting,Sega,1.07
Namco Museum Remix,Wii,2007.0,Misc,Atari,0.74
Code Name: S.T.E.A.M.,3DS,2015.0,Strategy,Nintendo,0.22
Harukanaru Augusta 2: Masters,SNES,1993.0,Sports,T&E Soft,0.12
Lost Dimension,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.14
Minna no Ennichi,3DS,2012.0,Action,Namco Bandai Games,0.05
Diabolik Lovers: Lunatic Parade,PSV,2016.0,Adventure,Idea Factory,0.03
Transformers: The Game (XBox 360 PS2 PS3 Wii & PC Versions),PSP,2007.0,Action,Activision,0.66
Ys I & II Chronicles,PSP,2009.0,Role-Playing,Falcom Corporation,0.09
Pro Yaky? Spirits 3,PS2,2006.0,Sports,Konami Digital Entertainment,0.16
Madden NFL 08,GC,2007.0,Sports,Electronic Arts,0.08
Happy Feet Two,PS3,,Action,Warner Bros. Interactive Entertainment,0.1
Hakuoki: Shinkai - Furi no Shou,PSV,2015.0,Action,Idea Factory,0.02
Spider-Man: Friend or Foe,X360,2007.0,Action,Activision,0.3
Kurupoto Cool Cool Stars,DS,2007.0,Action,Starfish,0.06
Suzumiya Haruhi no Yakusoku,PSP,2007.0,Adventure,Namco Bandai Games,0.15
Enemy Territory: Quake Wars,PS3,2008.0,Shooter,Activision,0.35
Nobunaga's Ambition II,3DS,2015.0,Strategy,Tecmo Koei,0.04
Fire Pro Wrestling Returns,PS2,2005.0,Sports,505 Games,0.09
Batman: Vengeance,PS2,2001.0,Adventure,Ubisoft,0.55
Rapala's Fishing Frenzy,Wii,2008.0,Sports,Activision,0.22
Warriors Orochi 2,X360,2008.0,Action,Tecmo Koei,0.06
Star Trek: Shattered Universe,PS2,2004.0,Simulation,Global Star,0.1
The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo,3.83
SingStar Queen,PS3,2009.0,Misc,Sony Computer Entertainment,0.45
Worms 2,PC,1997.0,Strategy,Microprose,0.01
One Piece: Gear Spirit,DS,2007.0,Fighting,Namco Bandai Games,0.08
Shinseiki Evangelion 2: Tsukurareshi Sekai - Another Cases,PSP,2006.0,Adventure,Namco Bandai Games,0.05
Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,2008.0,Adventure,Konami Digital Entertainment,0.29
Kadenz fermata//Akkord:fortissimo,PSV,2014.0,Adventure,5pb,0.02
Smart Boy's Toys Club,DS,2008.0,Misc,505 Games,0.06
Smash Court Tennis Pro Tournament 2,PS2,2004.0,Sports,Sony Computer Entertainment,0.13
Virtual Pool 64,N64,1998.0,Sports,Crave Entertainment,0.1
Densetsu no Yuusha no Densetsu: Legendary Saga,PSP,2010.0,Role-Playing,Kadokawa Shoten,0.01
The Incredible Hulk: The Pantheon Saga,PS,1996.0,Action,Eidos Interactive,0.16
Band Hero,X360,2009.0,Misc,Activision,0.8
Just Dance 2014,XOne,2013.0,Misc,Ubisoft,0.45
Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,Activision,1.15
Two Worlds,X360,2007.0,Role-Playing,SouthPeak Games,0.71
Fatal Frame II: Crimson Butterfly,PS2,2003.0,Action,Ubisoft,0.16
RedCard 20-03,GC,2002.0,Sports,Midway Games,0.02
Scarface: The World is Yours,PS2,2006.0,Action,Vivendi Games,1.19
Madden NFL 17,PS4,2016.0,Sports,Electronic Arts,1.23
